iter	RMSE
0	0.3788919529
1	0.3675265523
2	0.3562226723
3	0.3455483823
4	0.3351408144
5	0.3253544239
6	0.3157334365
7	0.3071613734
8	0.2985672662
9	0.2908190795
10	0.2830772154
11	0.2755461538
12	0.2687907599
13	0.2622026592
14	0.255436877
15	0.2498864084
16	0.2445096042
17	0.2391282998
18	0.2336225516
19	0.2289819719
20	0.2240121234
21	0.2193021114
22	0.2149827988
23	0.2110287726
24	0.2070349797
25	0.2029616799
26	0.1991949987
27	0.1956482862
28	0.1922678741
29	0.1889333233
30	0.1859245177
31	0.1833709653
32	0.1807671179
33	0.1785284197
34	0.1762353028
35	0.1739676378
36	0.1715770359
37	0.1696061003
38	0.1673681871
39	0.1652736764
40	0.1634869692
41	0.1618732172
42	0.159976309
43	0.1584194348
44	0.1568279981
45	0.1550519414
46	0.1535908015
47	0.1522476668
48	0.1506114377
49	0.1495139188
50	0.148023462
51	0.1468274875
52	0.1456198203
53	0.1444500077
54	0.1434909403
55	0.1425019199
56	0.1414206112
57	0.140240679
58	0.1394135451
59	0.1385264392
60	0.137506594
61	0.1363982929
62	0.135612727
63	0.1347407855
64	0.1339383445
65	0.1329675792
66	0.1320301746
67	0.1312797392
68	0.1304205214
69	0.1297125483
70	0.1290406037
71	0.1282279476
72	0.127620979
73	0.1267415723
74	0.1261226076
75	0.125466988
76	0.1248246926
77	0.1240751644
78	0.1234002947
79	0.1226651215
80	0.1222656508
81	0.1216820263
82	0.1211655736
83	0.1206718366
84	0.1201472526
85	0.1196236118
86	0.119082397
87	0.1186267096
88	0.1180498672
89	0.1174752902
90	0.1169397852
91	0.1164560969
92	0.1159330214
93	0.1156940366
94	0.1152588134
95	0.11475659
96	0.1144258515
97	0.1138695326
98	0.1135595627
99	0.1131696774
100	0.1127040127
101	0.1123234649
102	0.1119109412
103	0.1115001272
104	0.1110650242
105	0.1107312026
106	0.1103577765
107	0.1100647322
108	0.1096488579
109	0.1093338296
110	0.1091936378
111	0.1089592778
112	0.1085471832
113	0.1081441332
114	0.1079584971
115	0.1077412976
116	0.107404633
117	0.1071400671
118	0.1067678674
119	0.1066115976
120	0.1063374986
121	0.106131886
122	0.1059620574
123	0.1056226489
124	0.1052934275
125	0.1049354716
126	0.1046470007
127	0.1043277923
128	0.1040923494
129	0.1039167486
130	0.1038463941
131	0.1036039015
132	0.1032944535
133	0.1030093283
134	0.1028058357
135	0.1025235571
136	0.1022912943
137	0.1020838365
138	0.101844483
139	0.1015596615
140	0.1013312225
141	0.1011318488
142	0.1009277924
143	0.1008082448
144	0.1006903858
145	0.1004551735
146	0.1002251664
147	0.1001149613
148	0.09991847717
149	0.09963826412
150	0.09943661798
151	0.09925704571
152	0.09890221378
153	0.09862560222
154	0.09837828289
155	0.09801198432
156	0.09772894907
157	0.09751086469
158	0.09735096691
159	0.09707608445
160	0.09684795471
161	0.09661069321
162	0.09654627207
163	0.0962974002
164	0.09621820791
165	0.09596684672
166	0.09573012433
167	0.09546408884
168	0.09534141226
169	0.09512285728
170	0.09494944539
171	0.09477400697
172	0.0945088254
173	0.09427111579
174	0.09408788646
175	0.09396500226
176	0.09381924904
177	0.09356110187
178	0.09328049337
179	0.09301669802
180	0.09276926276
181	0.09247173888
182	0.09206474278
183	0.09185548088
184	0.09154647539
185	0.09137864833
186	0.09119719183
187	0.09094998578
188	0.09075711777
189	0.09055551056
190	0.0902976464
191	0.09010493581
192	0.08979540289
193	0.08956574433
194	0.08933788815
195	0.08920167919
196	0.08902624999
197	0.08879632149
198	0.08855374915
199	0.08848530427
200	0.0883521908
201	0.08826998582
202	0.0879867187
203	0.08775350549
204	0.08763055502
205	0.08758469219
206	0.08736482216
207	0.08730530265
208	0.08714741042
209	0.08710634108
210	0.0869050115
211	0.08676940636
212	0.08671998877
213	0.08651514194
214	0.08635666341
215	0.08616056156
216	0.08605496749
217	0.08586827709
218	0.08565722
219	0.08536335342
220	0.08518419445
221	0.08494756446
222	0.08477532153
223	0.08462026787
224	0.08444805275
225	0.08422188555
226	0.08413723906
227	0.08397751354
228	0.08383169361
229	0.0837085592
230	0.08337599915
231	0.08325257818
232	0.08310760514
233	0.08293156524
234	0.08278476157
235	0.08254040532
236	0.08241992499
237	0.08227098386
238	0.08203956355
239	0.08187055174
240	0.08163196064
241	0.08145317888
242	0.08135010749
243	0.0811961891
244	0.08102127936
245	0.0808352475
246	0.08056521053
247	0.08030483128
248	0.08021065252
249	0.08001491403
250	0.07984217519
251	0.07961006488
252	0.07947570105
253	0.07930030542
254	0.07913258098
255	0.07906829274
256	0.07890803591
257	0.07861029501
258	0.07845821839
259	0.07824311849
260	0.07813222151
261	0.07792996084
262	0.07772836651
263	0.07760363131
264	0.07743944325
265	0.07729755677
266	0.07711652134
267	0.07696227439
268	0.07674444518
269	0.0765405618
270	0.07638647124
271	0.07624985107
272	0.07611276398
273	0.07597550928
274	0.07583256852
275	0.07567235956
276	0.07555107544
277	0.07545938496
278	0.07528499178
279	0.07511065119
280	0.07493269689
281	0.07476194089
282	0.07462431318
283	0.07445811554
284	0.07428114765
285	0.07414992919
286	0.07401109947
287	0.07379840077
288	0.07365173278
289	0.07352010202
290	0.07340890426
291	0.07323186814
292	0.07316650098
293	0.07312454485
294	0.07296092106
295	0.07283229684
296	0.07263764232
297	0.07258354177
298	0.07242480915
299	0.0722930083
300	0.0721034927
301	0.07201465479
302	0.07190547866
303	0.07179003479
304	0.07166379263
305	0.07154735606
306	0.07146827057
307	0.07141962919
308	0.07129097512
309	0.07117722356
310	0.07103374101
311	0.07086879473
312	0.07074425268
313	0.07060378652
314	0.07049423705
315	0.07033534435
316	0.07021765583
317	0.07005052997
318	0.06992235938
319	0.06976695889
320	0.06965301969
321	0.06956104921
322	0.06944476764
323	0.06940149142
324	0.06927724294
325	0.06918407021
326	0.06902853514
327	0.06886721687
328	0.06874881075
329	0.06862958108
330	0.06850713214
331	0.06845026791
332	0.06830531251
333	0.06814317801
334	0.06808886819
335	0.06796471765
336	0.06780989053
337	0.06772347215
338	0.06755827212
339	0.06744176918
340	0.06734177763
341	0.06726547274
342	0.06708204945
343	0.06693121647
344	0.06682326172
345	0.06672840684
346	0.06666493964
347	0.0665302926
348	0.06648285509
349	0.06633927587
350	0.06628642279
351	0.06617033293
352	0.06605442103
353	0.06600170115
354	0.06587288234
355	0.06573279329
356	0.06563661033
357	0.06559881446
358	0.06547555121
359	0.06536407833
360	0.06525767809
361	0.06515635411
362	0.06507447817
363	0.0649449075
364	0.0648503373
365	0.06483081217
366	0.06473941843
367	0.06472364183
368	0.06464681471
369	0.06460376953
370	0.06454825311
371	0.06442390963
372	0.06430193345
373	0.06415020205
374	0.06404879813
375	0.06390125471
376	0.06384432556
377	0.06383159828
378	0.06370704466
379	0.06361539915
380	0.06347278357
381	0.06337421008
382	0.06321209138
383	0.06310714969
384	0.06297660145
385	0.0628290428
386	0.06273206244
387	0.06263732418
388	0.06244253828
389	0.06243036627
390	0.06234918305
391	0.06221082464
392	0.06215773183
393	0.06201381517
394	0.0618613979
395	0.06175481414
396	0.06171044914
397	0.06155844551
398	0.06142176262
399	0.06140981661
400	0.06131045727
401	0.06118527589
402	0.06109194623
403	0.06100964685
404	0.06090867894
405	0.06080608351
406	0.06074912977
407	0.06067519534
408	0.06059071728
409	0.06049822744
410	0.06042929787
411	0.06034892678
412	0.0602653568
413	0.06012754321
414	0.06005861807
415	0.05988405149
416	0.05983553146
417	0.05980824844
418	0.05972816742
419	0.0596494511
420	0.05952910532
421	0.05943233826
422	0.0593665465
423	0.05926696857
424	0.05922161122
425	0.05915544132
426	0.05907196059
427	0.05902909961
428	0.05893236565
429	0.05881000856
430	0.05872645301
431	0.05859632179
432	0.05852130167
433	0.05842369628
434	0.05834744448
435	0.05818272286
436	0.05808573393
437	0.05806422195
438	0.05799563109
439	0.05790479149
440	0.05789512635
441	0.05777125916
442	0.05765914378
443	0.05764930592
444	0.05759705099
445	0.05749616137
446	0.0573997104
447	0.05731307949
448	0.05719169919
449	0.05707722943
450	0.05699451216
451	0.05695368068
452	0.05686805695
453	0.05675113513
454	0.05671849603
455	0.05670412355
456	0.05663802126
457	0.05650315481
458	0.05648784749
459	0.05642497208
460	0.05632418298
461	0.0561707189
462	0.05603220169
463	0.05592500259
464	0.05582896979
465	0.05572699109
466	0.05567441322
467	0.05558808057
468	0.0554581862
469	0.05541729275
470	0.0553322042
471	0.05521003151
472	0.05514088148
473	0.05509977816
474	0.05501543394
475	0.05491809257
476	0.05482619847
477	0.05476184529
478	0.05466902115
479	0.05456092044
480	0.05450480315
481	0.05442932967
482	0.05434364645
483	0.05424880487
484	0.05409365145
485	0.05400115895
486	0.05392830482
487	0.05386338469
488	0.0537945719
489	0.05374699744
490	0.05365650715
491	0.05354645
492	0.05344316108
493	0.05336856613
494	0.05336021402
495	0.05335263253
496	0.05326480656
497	0.05318553919
498	0.05312166148
499	0.05300167336
500	0.05288594951
501	0.0528781339
502	0.05277536138
503	0.05264453927
504	0.05258981793
505	0.05253177426
506	0.05244388523
507	0.05238897481
508	0.05232237434
509	0.05224326803
510	0.05221710276
511	0.05210377509
512	0.05201626911
513	0.05195352213
514	0.05182956921
515	0.05181213371
516	0.05174761225
517	0.05167603056
518	0.0516063755
519	0.05153197851
520	0.05140242825
521	0.05136619321
522	0.05132812956
523	0.05126545702
524	0.05120794956
525	0.05120068484
526	0.05110940621
527	0.05097547302
528	0.05089877955
529	0.05085488875
530	0.05073761622
531	0.05064276518
532	0.05058227932
533	0.05055872553
534	0.05055041145
535	0.05045592511
536	0.05038546907
537	0.05028678482
538	0.05021361628
539	0.05013417877
540	0.05004893298
541	0.05000795397
542	0.04993026476
543	0.04984782325
544	0.04978615394
545	0.04970239907
546	0.04959807385
547	0.04951820008
548	0.04946043066
549	0.04935386456
550	0.04927917897
551	0.04917828394
552	0.04907678106
553	0.04897894418
554	0.04892661806
555	0.04887822563
556	0.04884801194
557	0.04873255178
558	0.04865221894
559	0.04854083787
560	0.04848702981
561	0.04841050143
562	0.04835393956
563	0.04830505516
564	0.04821195501
565	0.04813521213
566	0.0480474141
567	0.04801104697
568	0.04796372908
569	0.04787347124
570	0.0478526427
571	0.04777378468
572	0.04766622613
573	0.04759403737
574	0.04752822687
575	0.04743746393
576	0.04737699464
577	0.04726838001
578	0.04721339236
579	0.04714357718
580	0.04703344572
581	0.0469645257
582	0.04690434331
583	0.04687540677
584	0.04677946601
585	0.04677116009
586	0.04670586099
587	0.04667712265
588	0.04659332104
589	0.0465250325
590	0.04651885339
591	0.04642271606
592	0.04634993381
593	0.04629328696
594	0.04619437774
595	0.04611650976
596	0.04605411753
597	0.04598623009
598	0.04590522465
599	0.0458957067
600	0.0458598871
601	0.04573471169
602	0.0456786353
603	0.04560014186
604	0.04556741894
605	0.04551011895
606	0.0454599709
607	0.04540098497
608	0.04534459991
609	0.04528842092
610	0.04522167805
611	0.04515320221
612	0.04509191081
613	0.04503254355
614	0.04497478654
615	0.0448993474
616	0.04482170811
617	0.04476876474
618	0.04469194357
619	0.04462990412
620	0.04455459765
621	0.04447961332
622	0.04440860342
623	0.04437311876
624	0.04431288662
625	0.04423827417
626	0.04423005969
627	0.04414587953
628	0.04408843535
629	0.04402639966
630	0.04395362431
631	0.04388840445
632	0.04382226211
633	0.0437912354
634	0.04371615714
635	0.04364418399
636	0.04354691275
637	0.04348528329
638	0.04340682316
639	0.04331509915
640	0.04325206553
641	0.04319573512
642	0.04313658688
643	0.04305747534
644	0.04303431695
645	0.04292109058
646	0.04291353597
647	0.04284186886
648	0.04277951374
649	0.0427014772
650	0.04263145075
651	0.04256657395
652	0.0424941377
653	0.04240644359
654	0.0423123697
655	0.0422475148
656	0.04219000044
657	0.04208963859
658	0.04198652223
659	0.0419141507
660	0.04184777917
661	0.04179797774
662	0.04174133442
663	0.04173695612
664	0.04172194195
665	0.04165340072
666	0.04163341746
667	0.04153038674
668	0.04148311815
669	0.04147885984
670	0.04143840329
671	0.04140804934
672	0.04134819216
673	0.04133457331
674	0.04130636692
675	0.04124458363
676	0.04119726492
677	0.04118611641
678	0.04110802757
679	0.04105609809
680	0.04104743009
681	0.04093436661
682	0.04087912153
683	0.04083933058
684	0.04075766526
685	0.04068759297
686	0.04063706479
687	0.04058120778
688	0.04051701819
689	0.04044875533
690	0.04039102321
691	0.04034934106
692	0.04028024483
693	0.04025796186
694	0.04021451237
695	0.04017598503
696	0.04016745178
697	0.04013939325
698	0.04006655971
699	0.04005971795
700	0.04004743192
701	0.03999481523
702	0.03995930882
703	0.0398913643
704	0.0398374096
705	0.03979480548
706	0.03973837888
707	0.03967968314
708	0.03963082211
709	0.03958021965
710	0.03957506601
711	0.03953836319
712	0.03948512822
713	0.03941595237
714	0.0393765595
715	0.03928469301
716	0.03922535486
717	0.03917067057
718	0.03912240015
719	0.03903964244
720	0.03897404518
721	0.03892809434
722	0.03887259476
723	0.03882831823
724	0.03882062631
725	0.03876855729
726	0.03873646413
727	0.03871773872
728	0.03864391419
729	0.03860117598
730	0.0385871535
731	0.03852597708
732	0.03848912239
733	0.03848453241
734	0.0384410439
735	0.03843470351
736	0.03833289261
737	0.03826481516
738	0.03822368151
739	0.0381645241
740	0.0381327428
741	0.03805128201
742	0.03804749584
743	0.03804287189
744	0.03803900702
745	0.03802308498
746	0.03797957388
747	0.03794083847
748	0.03793260716
749	0.03789926685
750	0.03785974945
751	0.03782708357
752	0.03777304942
753	0.03775699887
754	0.03769420967
755	0.03767065297
756	0.0376632625
757	0.03762373609
758	0.03757917949
759	0.0375243738
760	0.0374804439
761	0.03742947948
762	0.03739980428
763	0.03734907313
764	0.03733470316
765	0.037272824
766	0.03726552663
767	0.0372130836
768	0.03717757074
769	0.03712229351
770	0.03706324329
771	0.03702638144
772	0.03701175184
773	0.03693310763
774	0.03692845963
775	0.0368917976
776	0.03688560994
777	0.03687721352
778	0.03679869178
779	0.03675686933
780	0.03671768999
781	0.03667605959
782	0.03660705777
783	0.03656060469
784	0.03653435562
785	0.0364882191
786	0.03642652818
787	0.03634553958
788	0.03627277868
789	0.03625975869
790	0.0362014929
791	0.03612532184
792	0.0360848556
793	0.03608149528
794	0.0360179465
795	0.03596603788
796	0.03592073972
797	0.03582164672
798	0.03578803544
799	0.03573694248
800	0.03569229525
801	0.03560047307
802	0.03552480741
803	0.03547128857
804	0.03539788687
805	0.03533394689
806	0.03530335944
807	0.03529303282
808	0.03523972159
809	0.03517361323
810	0.03513652565
811	0.0350877088
812	0.03504232796
813	0.03501408564
814	0.0349715093
815	0.03491254943
816	0.03490947026
817	0.03485829165
818	0.03481239539
819	0.03476727378
820	0.03472810617
821	0.03466818184
822	0.03462556159
823	0.03461374823
824	0.0345504037
825	0.03449169338
826	0.03441084785
827	0.03437394002
828	0.03433539304
829	0.0342803215
830	0.03423987552
831	0.03420084716
832	0.034160307
833	0.03413644896
834	0.03413349127
835	0.03406181483
836	0.03404651858
837	0.03401763751
838	0.03395365283
839	0.0339153627
840	0.0338925444
841	0.03383198243
842	0.03378578451
843	0.03373021014
844	0.03367545192
845	0.03366632869
846	0.03359212179
847	0.03356187692
848	0.03351687169
849	0.03351341461
850	0.0334954951
851	0.03346161134
852	0.03343510997
853	0.03339654644
854	0.03336511389
855	0.03333293793
856	0.03332837869
857	0.03327126364
858	0.0332677625
859	0.03316160945
860	0.03312684569
861	0.03309470701
862	0.03303008969
863	0.03298264005
864	0.03294909653
865	0.03294587306
866	0.03290498932
867	0.03285962948
868	0.03280580383
869	0.03273636895
870	0.0327062216
871	0.03267256506
872	0.03266960996
873	0.0326211025
874	0.03256540408
875	0.03251006337
876	0.03248318756
877	0.03243199372
878	0.03237786711
879	0.03230654824
880	0.03226751922
881	0.03222396038
882	0.03216376379
883	0.03212108057
884	0.03208196138
885	0.03201644976
886	0.03195922061
887	0.03189219111
888	0.03182665943
889	0.03179713539
890	0.03175593155
891	0.03172369286
892	0.03169585911
893	0.03163036962
894	0.03160299527
895	0.03160035761
896	0.03155452753
897	0.03151368609
898	0.03147604004
899	0.03147399283
900	0.03140939663
901	0.0313702265
902	0.03134244256
903	0.03128763084
904	0.03123597934
905	0.03118745894
906	0.0311563289
907	0.03113164363
908	0.03109302528
909	0.03105005067
910	0.03101796034
911	0.0309837076
912	0.03097225151
913	0.03094439671
914	0.03092659151
915	0.03088527356
916	0.03086743325
917	0.03083606276
918	0.03083325115
919	0.03080221742
920	0.03077278834
921	0.03076924446
922	0.03073206121
923	0.03070805687
924	0.03064928368
925	0.03061911942
926	0.03057437411
927	0.03057161649
928	0.03054068746
929	0.03053848549
930	0.03050712034
931	0.03050514734
932	0.03046331576
933	0.0304109396
934	0.03038030741
935	0.03033644966
936	0.03031689929
937	0.03026562908
938	0.03022362891
939	0.03020560765
940	0.03017549436
941	0.03010502991
942	0.03006371345
943	0.03001945987
944	0.02997162934
945	0.02992407934
946	0.02989305454
947	0.02986118506
948	0.0298015909
949	0.02975668969
950	0.0297542324
951	0.02970476087
952	0.0296876508
953	0.02964200389
954	0.02960109757
955	0.02954328122
956	0.02954121802
957	0.02952028027
958	0.02945287128
959	0.02941624482
960	0.02936657764
961	0.0293345258
962	0.02929329677
963	0.02924094485
964	0.02918203628
965	0.02915310861
966	0.02913648042
967	0.02909685604
968	0.02906087892
969	0.0289981315
970	0.02897794996
971	0.02895537907
972	0.0288845991
973	0.0288828411
974	0.02883341203
975	0.02878763621
976	0.02874713952
977	0.02870328712
978	0.02867562946
979	0.02864090323
980	0.02863070428
981	0.02859599589
982	0.02855460769
983	0.02850726196
984	0.02848462617
985	0.02845015178
986	0.02844769813
987	0.02841309913
988	0.02837112525
989	0.02832715723
990	0.02829672532
991	0.02827209946
992	0.02823208551
993	0.0281825891
994	0.02817514802
995	0.02811529396
996	0.02810299917
997	0.02810038067
998	0.02808383575
999	0.02806822566
